MonthDay;Hour of day;Consumption;Rate
12/24;18;0.66;Off-peak
12/24;19;1.59;Off-peak
12/24;20;2.09;Off-peak
12/24;21;0.79;Off-peak
12/24;22;0.66;Off-peak
12/24;23;0.63;Off-peak
12/25;0;0.42;Off-peak
12/25;1;0.46;Off-peak
12/25;2;0.31;Off-peak
12/25;3;0.29;Off-peak
12/25;4;0.32;Off-peak
12/25;5;0.32;Off-peak
12/25;6;0.29;Off-peak
12/25;7;0.3;Off-peak
12/25;8;0.3;Off-peak
12/25;9;0.29;Off-peak
12/25;10;0.37;Off-peak
12/25;11;0.73;Off-peak
12/25;12;0.4;Off-peak
12/25;13;0.31;Off-peak
12/25;14;0.27;Off-peak
12/25;15;0.26;Off-peak
12/25;16;0.28;Off-peak
12/25;17;0.26;Off-peak
12/25;18;0.27;Off-peak
12/25;19;0.27;Off-peak
12/25;20;0.28;Off-peak
12/25;21;0.27;Off-peak
12/25;22;0.28;Off-peak
12/25;23;0.34;Off-peak
12/26;0;0.44;Off-peak
12/26;1;0.4;Off-peak
12/26;2;0.31;Off-peak
12/26;3;0.28;Off-peak
12/26;4;0.3;Off-peak
12/26;5;0.31;Off-peak
12/26;6;0.28;Off-peak
12/26;7;0.29;Off-peak
12/26;8;0.28;Off-peak
12/26;9;0.35;Off-peak
12/26;10;0.87;Off-peak
12/26;11;0.5;Off-peak
12/26;12;0.62;Off-peak
12/26;13;3.84;Off-peak
12/26;14;1.6;Off-peak
12/26;15;3;Off-peak
12/26;16;0.27;Off-peak
12/26;17;0.55;Off-peak
12/26;18;0.67;Off-peak
12/26;19;0.6;Off-peak
12/26;20;0.48;Off-peak
12/26;21;0.42;Off-peak
12/26;22;0.59;Off-peak
12/26;23;0.43;Off-peak
12/27;0;0.46;Off-peak
12/27;1;0.41;Off-peak
12/27;2;0.35;Off-peak
12/27;3;0.28;Off-peak
12/27;4;0.31;Off-peak
12/27;5;0.3;Off-peak
12/27;6;0.32;Off-peak
12/27;7;0.12;Off-peak
12/27;8;0.12;Off-peak
12/27;9;0.13;Off-peak
12/27;10;0.16;Off-peak
12/27;11;0.33;Off-peak
12/27;12;0.27;Off-peak
12/27;13;0.28;Off-peak
12/27;14;0.31;Off-peak
12/27;15;0.43;Off-peak
12/27;16;0.37;Off-peak
12/27;17;0.5;Off-peak
12/27;18;1.2;Off-peak
12/27;19;1.8;Off-peak
12/27;20;0.46;Off-peak
12/27;21;1.9;Off-peak
12/27;22;0.77;Off-peak
12/27;23;0.44;Off-peak
12/28;0;0.38;Off-peak
12/28;1;0.44;Off-peak
12/28;2;0.38;Off-peak
12/28;3;0.28;Off-peak
12/28;4;0.28;Off-peak
12/28;5;0.31;Off-peak
12/28;6;0.26;Off-peak
12/28;7;0.3;Off-peak
12/28;8;0.36;On-peak
12/28;9;0.31;On-peak
12/28;10;1.47;On-peak
12/28;11;0.6;On-peak
12/28;12;0.35;Mid-peak
12/28;13;0.32;Mid-peak
12/28;14;0.34;Mid-peak
12/28;15;0.32;Mid-peak
12/28;16;0.33;Mid-peak
12/28;17;0.46;Mid-peak
12/28;18;0.31;On-peak
12/28;19;0.42;On-peak
12/28;20;0.33;Off-peak
12/28;21;0.31;Off-peak
12/28;22;0.32;Off-peak
12/28;23;0.31;Off-peak
12/29;0;0.36;Off-peak
12/29;1;0.45;Off-peak
